week,satisfaction,health,sleepduration,hr,hrv,readiness,activity,sleep,activecals
2024-W52,6.7,7.6,8.03,57,28,78,64,81,3080
2024-W51,7,8.9,8.37,57,28,82,64,85,2951
2024-W50,6.7,8.1,7.94,54,34,84,62,84,3004
2024-W49,4.9,7,7.86,56,27,79,68,80,2976
2024-W48,6,10,8.4,53,32,84,68,84,2945
2024-W47,6.1,9.3,8.08,55,29,78,82,83,3103
2024-W46,6.1,8.9,7.58,54,32,79,88,82,3061
2024-W45,5.7,8.7,8.46,54,34,83,78,86,3055
2024-W44,6.9,8.3,7.86,56,34,81,74,81,3117
2024-W43,7,9.7,8.03,55,32,79,91,84,3205
2024-W42,5.5,9.2,7.23,53,34,77,68,78,2985
2024-W41,5.8,9.7,7.39,52,37,87,76,80,3025
2024-W40,4.5,8.7,7.92,52,36,87,69,83,3011
2024-W39,4.8,9,7.78,54,33,85,82,83,3131
2024-W38,4.3,9.1,8.05,52,33,82,83,82,3138
2024-W37,4.6,8.1,8.18,54,31,82,93,82,3173
2024-W36,4.7,7.9,7.48,55,33,73,92,77,3305
2024-W35,4.8,9,7.39,52,37,81,86,79,3061
2024-W34,5.8,10,7.92,51,39,87,81,81,3183
2024-W33,5.3,10,8.09,50,42,89,90,86,3344
2024-W32,8,10,8,51,36,85,94,82,3583
2024-W31,5.9,10,8.29,51,38,87,96,84,3471
2024-W30,3.9,10,7.54,51,37,86,96,81,3349
2024-W29,6.7,10,7.7,50,37,86,96,80,3466
2024-W28,6.1,10,7.54,50,38,84,94,78,3697
2024-W27,6.3,10,8.13,50,40,87,83,81,3527
2024-W26,7.1,9.4,7.79,51,38,85,88,80,3634
2024-W25,7,8.7,7.61,52,33,83,94,82,3521
2024-W24,6.3,9.7,7.9,52,37,84,82,82,3634
2024-W23,7.1,9.6,7.42,55,34,81,82,79,3576
2024-W22,5.6,8.6,8.05,53,33,84,69,83,3200
2024-W21,4.9,9.7,7.27,53,35,83,63,81,2837
2024-W20,5.4,9,7.17,53,29,77,78,76,3036
2024-W19,5.4,9.9,7.93,53,32,85,79,83,3128
2024-W18,5.5,10,7.76,53,31,84,86,83,3078
2024-W17,6.7,9.6,7.9,53,31,82,85,81,3173
2024-W16,4.9,9.9,7.83,53,29,84,75,84,3093
2024-W15,5,9.1,7.37,52,33,82,76,76,2990
2024-W14,6,9.3,7.79,53,34,81,90,78,3184
2024-W13,5.6,9.7,7.72,54,31,79,84,80,3221
2024-W12,6.3,10,7.59,54,33,84,85,82,3128
2024-W11,6.2,9.7,7.77,55,30,79,86,81,3208
2024-W10,6.3,8.6,7.79,53,34,86,83,83,3163
2024-W09,6.2,8.5,8.19,54,29,82,86,83,3172
2024-W08,5.6,8.7,8.22,55,28,83,87,83,3074
2024-W07,5.2,8.8,7.91,56,29,79,88,80,3033
2024-W06,6.3,9.6,7.43,54,30,82,84,82,3207
2024-W05,6,10,8.09,53,30,85,89,86,3250
2024-W04,5.9,9.6,8.16,54,28,79,85,84,3176
2024-W03,7,10,7.75,56,29,80,86,81,3207
2024-W02,5.1,8.7,8.43,55,30,81,85,85,3198
2024-W01,6.4,9.9,8.05,55,30,81,69,81,3059
2023-W53,7.2,10,8.24,54,32,84,76,81,3117
2023-W52,5.3,10,8.44,52,33,85,88,83,3212
2023-W51,6.4,10,7.85,54,30,81,85,85,3258
2023-W50,6.7,10,7.7,56,29,78,85,83,3180
2023-W49,6,10,7.23,55,30,78,80,77,3138
2023-W48,6.9,10,8.59,52,32,86,84,81,3188
2023-W47,6,9.7,7.92,51,33,87,90,84,3271
2023-W46,4.3,10,8.38,52,33,82,90,89,3212
2023-W45,6,10,7.41,53,31,82,71,80,3225
2023-W44,6,10,7.96,52,35,86,80,83,3147
2023-W43,5.9,10,7.79,51,33,82,89,84,3173
2023-W42,5.8,10,8.4,52,38,87,84,85,3224
2023-W41,6.1,9.1,7.95,54,34,82,83,81,3249
2023-W40,6.2,8.7,6.97,55,32,81,81,75,3188
2023-W39,6.3,10,7.99,54,30,82,82,85,3082
2023-W38,5.6,10,7.46,53,30,83,74,79,3151
2023-W37,5.6,10,8.08,54,30,75,76,81,3036
2023-W36,8.1,10,7.66,57,26,73,81,80,3024
2023-W35,5.6,9.8,7.88,53,30,79,82,81,3082
2023-W34,7,9.8,7.99,53,33,83,73,82,3015
2023-W33,7.9,10,8.25,57,25,73,56,82,2878
2023-W32,7.6,9.3,7.98,51,31,83,74,82,2996
2023-W31,6.5,9.8,8.24,53,32,89,72,86,3013
2023-W30,6.7,8.7,8.19,55,30,86,69,83,3054
2023-W29,7.3,7.7,8.01,56,26,77,76,81,2980
2023-W28,6.7,6.9,7.77,54,30,85,67,82,2987
2023-W27,7,7.1,7.69,57,26,74,73,81,3133
2023-W26,6.2,7.3,7.6,57,25,78,59,80,3082
2023-W25,4.4,6.4,7.67,55,27,82,53,83,2932
2023-W24,5.9,6.6,7.98,54,32,86,53,81,2881
2023-W23,4.8,7.7,8.06,52,36,84,68,78,2846
2023-W22,6,10,8.71,54,30,85,87,87,3081
2023-W21,6.4,10,7.19,54,33,80,82,79,3151
2023-W20,7.4,10,7.85,57,28,82,87,84,3069
2023-W19,6.1,10,7.93,54,32,84,90,83,3243
2023-W18,6.6,10,7.47,53,32,78,88,81,3246
2023-W17,7.2,10,7.93,52,33,85,72,81,3266
2023-W16,6.4,10,8.16,52,36,87,81,85,3207
2023-W15,7,10,7.41,52,33,90,76,85,3012
2023-W14,7.3,9.6,7.49,52,32,87,75,83,3134
2023-W13,5.1,8.6,9.77,64,24,61,63,91,2743
2023-W12,5.4,10,,,,,71,,2407
2023-W11,4.9,9.3,7.99,57,27,79,68,87,2887
2023-W10,5.9,8.9,7.84,58,27,82,77,83,2992
2023-W09,7.2,10,8.14,57,30,82,85,80,3113
2023-W08,6.9,9.9,7.72,56,26,78,84,81,3015
2023-W07,6.2,9.7,7.56,57,27,83,88,83,3078
2023-W06,6.3,9.4,7.56,56,26,78,86,80,3189
2023-W05,5.3,9.7,8.2,56,27,79,91,78,3085
2023-W04,6,9.8,8.35,57,26,74,82,79,3162
2023-W03,3.4,9.9,7.92,57,27,82,73,83,2966
2023-W02,5.4,10,8.3,59,24,78,85,84,3038
2022-W53,5.5,9.5,8.24,57,27,87,73,82,3027
2022-W52,5.6,10,8.13,57,27,83,73,83,2921
2022-W51,6.2,9.8,8.75,58,26,78,83,81,3023
2022-W50,7,10,7.86,56,30,78,86,82,3067
2022-W49,5.1,9.7,7.71,59,26,74,85,81,3059
2022-W48,7.2,10,8.56,54,35,86,85,84,3130
2022-W47,5,7.7,9.12,57,28,69,82,88,2774
2022-W46,4.5,5.3,7.75,66,20,60,69,82,2629
2022-W45,3.4,7,8.97,57,27,80,87,87,2935
2022-W44,6,8,7.65,57,24,77,,83,2959
2022-W43,4.3,6.6,8.11,56,29,80,63,82,2805
2022-W42,4.8,5.2,7.47,59,28,83,61,83,2920
2022-W41,4.6,6.6,8.27,53,30,83,66,83,2915
2022-W40,6.3,7.1,7.69,56,25,75,64,83,2932
2022-W39,5,6.9,6.74,56,28,78,57,80,2874
2022-W38,6.7,7.2,7.23,54,33,78,57,77,3041
2022-W37,5.8,6,8.01,54,32,81,61,83,2971
2022-W36,5.9,5.6,6.99,55,29,80,72,78,2992
2022-W35,5.9,5.6,8.11,58,24,74,84,85,3026
2022-W34,5.9,3.3,7.47,57,28,79,74,80,2940
2022-W33,6.9,4.9,7.19,57,29,76,77,81,2936
2022-W32,5.6,7.4,7.81,55,26,77,81,84,3047
2022-W31,3.9,9.9,7.65,51,31,81,91,85,2930
2022-W30,4,9.7,7.38,53,30,83,55,82,2851
2022-W29,5,8.4,8.34,53,32,91,61,83,2893
2022-W28,7.6,9,8.01,54,33,87,54,82,2967
2022-W27,6.7,5.6,7.86,50,34,82,87,84,3033
2022-W26,6.4,9.9,7.29,56,31,80,80,79,3283
2022-W25,6.9,10,8.55,55,29,83,82,88,2985
2022-W24,6.9,9.9,7.72,56,27,76,88,83,3269
2022-W23,7.7,10,8.13,59,27,68,82,79,3176
2022-W22,5.7,9.7,7.9,54,29,80,69,80,3054
2022-W21,5.6,10,7.87,54,31,79,73,80,2972
2022-W20,4.7,10,8,53,31,83,71,82,3188
2022-W19,6.7,10,7.74,55,30,75,74,80,2999
2022-W18,4.1,10,7.63,56,29,80,66,82,3191
2022-W17,4.9,10,7.96,55,31,86,75,82,2950
2022-W16,6,10,8.65,54,31,91,63,86,3003
2022-W15,5.4,10,8.04,52,34,92,63,87,2909
2022-W14,5.9,9.1,8.1,56,28,84,63,86,2935
2022-W13,6,10,7.48,57,26,82,67,84,2993
2022-W12,6.1,10,7.81,55,28,85,66,83,2901
2022-W11,6.1,10,7.81,55,29,78,77,80,2999
2022-W10,5.7,8.9,7.13,56,26,78,69,80,2978
2022-W09,5,10,8.05,56,28,82,75,83,2958
2022-W08,5.6,9,7.36,58,27,77,58,77,2891
2022-W07,5.6,8.6,8.13,58,29,79,65,80,2890
2022-W06,5.3,10,7.43,56,30,78,63,75,2942
2022-W05,5.3,8.9,8.75,59,25,75,84,79,2930
2022-W04,7.1,9.6,8.01,55,30,77,81,76,3140
2022-W03,6,10,7.51,55,31,75,84,76,3118
2022-W02,5.9,10,7.99,61,28,69,84,77,3086
2021-W53,6.1,10,7.18,55,32,71,79,75,3305
2021-W52,7,10,7.71,54,30,78,56,77,3101
2021-W51,6,10,7.58,53,31,84,58,80,2873
2021-W50,5.7,10,7.46,55,31,80,79,81,2982
2021-W49,6.4,10,7.17,59,26,71,79,76,2981
2021-W48,4.4,9.1,8.28,59,25,77,65,82,3049
2021-W47,5.9,10,8.29,57,30,78,78,83,2851
2021-W46,6.1,9.7,8.09,61,26,70,80,79,3039
2021-W45,5,7.7,8.53,67,19,56,71,74,2893
2021-W44,6,10,7.89,60,24,69,84,84,2998
2021-W43,6,9.9,7.55,60,26,62,89,78,3100
2021-W42,6.5,9.5,7.56,56,35,73,80,75,3122
2021-W41,6.3,10,7.73,56,36,77,78,77,3130
2021-W40,5,9.7,7.64,55,35,77,60,77,2924
2021-W39,5.9,9.9,7.15,54,33,74,70,79,1457
2021-W38,4.1,9.3,8.02,52,40,80,82,81,2665
2021-W37,5,9.5,8.08,55,36,76,80,79,3118
2021-W36,6.9,10,7.64,51,35,80,77,75,3111
2021-W35,5.1,10,8.03,50,40,81,92,81,3256
2021-W34,5.9,10,7.21,51,40,75,84,77,3250
2021-W33,6,10,7.01,52,38,76,86,76,3243
2021-W32,6.7,10,7.12,54,37,71,78,75,3399
2021-W31,6.3,10,7.64,52,36,84,65,78,3079
2021-W30,6.7,10,8.22,52,39,84,71,76,3076
2021-W29,5.6,10,7.96,54,37,80,87,80,3238
2021-W28,4.3,10,8.5,60,28,64,0,82,3128
2021-W27,5.3,10,8.41,53,33,79,56,78,3082
2021-W26,5.7,9.7,8.85,53,36,87,70,84,3252
2021-W25,5.5,9.7,8.17,53,36,84,79,80,3179
2021-W24,6.6,9.6,8.2,54,37,85,84,84,3101
2021-W23,6.4,8.6,7.41,56,32,74,85,76,3139
2021-W22,5.4,9.9,8.28,54,36,83,78,82,3198
2021-W21,5.7,9.6,7.88,52,40,86,72,81,3078
2021-W20,7,8.7,7.65,54,37,81,77,80,3238
2021-W19,6.7,8.2,8.42,54,37,84,76,83,3170
2021-W18,6.9,8.7,8.03,53,36,83,79,82,3187
2021-W17,7.4,7.3,7.49,55,33,79,84,81,3289
2021-W16,6,7.1,7.47,55,36,81,84,80,3171
2021-W15,6,7.9,7.83,57,34,79,79,78,3192
2021-W14,6.4,7,7.96,56,32,79,82,82,3173
2021-W13,5.4,5.7,8.43,57,34,81,78,85,3151
2021-W12,6.3,5.7,8.04,57,33,83,67,79,3023
2021-W11,5.9,5.4,8,54,33,88,66,81,2992
2021-W10,4.7,5.6,8.55,55,32,85,72,85,3026
2021-W09,4.9,4.6,7.74,56,33,84,62,81,3003
2021-W08,5.5,5.5,8.53,57,31,79,65,81,2992
2021-W07,4.9,4.4,7.83,57,36,80,80,79,3080
2021-W06,6.3,7.4,8.18,58,32,76,90,81,2972
2021-W05,7,8.3,7.71,58,28,72,85,79,3091
2021-W04,4.9,8,8,58,29,76,80,81,3045
2021-W03,5.7,7.4,8.3,59,28,78,85,83,2987
2021-W02,5.7,8,8.72,59,29,73,87,84,2991
2020-W53,6.4,8.6,7.75,59,28,60,88,71,3146
2020-W52,7,7.1,7.89,57,28,70,79,78,3136
2020-W51,4.7,8,8.78,53,38,79,78,79,3016
2020-W50,5.3,7.1,8.11,53,38,80,74,81,3074
2020-W49,4.9,10,8.77,53,34,79,82,83,3050
2020-W48,7,9.7,8.17,51,37,79,81,79,3164
2020-W47,5.4,10,8.64,50,42,80,80,81,3082
2020-W46,6.4,10,7.86,50,41,75,67,75,2976
2020-W45,4,10,7.57,51,39,70,52,74,2922
2020-W44,6.4,9.6,7.6,52,38,80,55,77,2732
2020-W43,4.7,10,7.78,49,44,84,61,81,2935
2020-W42,5,9.7,7.34,51,42,82,69,81,2954
2020-W41,5.7,9.8,8.18,53,39,83,82,85,3160
2020-W40,5.7,9.6,7.74,52,40,81,70,81,2990
2020-W39,5.4,10,7.58,52,39,78,82,82,3023
2020-W38,6.8,9,7.44,53,37,81,76,81,3057
2020-W37,6.4,8.7,7.51,52,42,82,69,81,2974
2020-W36,4.4,8.7,7.48,53,40,83,70,82,3042
2020-W35,6.3,8.3,7.91,55,38,82,65,83,2942
2020-W34,5.4,8,8.47,52,42,84,80,85,2987
2020-W33,6.4,6.4,7.34,52,39,78,88,82,3108
2020-W32,5.8,7.3,7.48,54,37,71,81,78,3166
2020-W31,5.6,5.7,8.2,53,39,84,59,83,2821
2020-W30,5.9,8.7,7.41,53,36,78,70,80,2908
2020-W29,5.4,8.6,7.84,54,36,78,77,81,2965
2020-W28,4.9,8.4,7.99,52,37,83,67,82,2956
2020-W27,6,8,7.67,52,37,81,57,79,2816
2020-W26,6.5,8.7,7.88,54,38,78,75,82,2988
2020-W25,5.7,9.3,7.69,52,40,77,74,80,2975
2020-W24,6.2,9.7,7.64,53,41,79,72,78,3056
2020-W23,5.9,8.7,7.86,52,39,78,79,81,3032
2020-W22,4.9,9.9,7.94,52,39,77,87,80,3113
2020-W21,5.9,9.4,8.1,53,37,78,81,84,3210
2020-W20,6.3,10,7.19,51,41,75,77,76,3068
